car_model,price,year_model,kms,color,fueltype
Renault Logan Dinamique 1.6 Fe Mt,$19.500.000,2007,86.000,Plateado,Gasolina
Renault Logan Expression mecánico,$34.500.000,2018,93.500,Plateado,Gasolina
Renault Logan AUTHENTIQUE  1600CC MT AA,$30.500.000,2016,75.200,Plateado,Gasolina
Renault Logan Familier  1400cc Mt Aa,$27.000.000,2014,156.450,Gris,Gasolina
Renault Logan AUTHENTIQUE  1600CC MT AA,$34.000.000,2016,102.685,Negro,Gasolina
Renault Logan Life 1.6 Mecanico Sedan,$48.500.000,2023,26.800,Gris,Gasolina
Renault Logan Expression Night & Day  1600cc Mt Aa,$36.500.000,2018,96.060,Plateado,Gasolina
Renault Logan Privilege 1.6cc AT AA 4X2,$37.600.000,2017,79.000,Gris,Gasolina
Renault Logan 1.6 Expression,$34.000.000,2018,70.952,Gris,Gasolina
Renault Logan 1.6 Authentique / Life,$55.900.000,2023,14.000,Plateado,Gasolina
Renault Logan Life 1.6 Mecanico Sedan,$49.500.000,2023,17.000,Gris,Gasolina
Renault Logan Familier  1400cc Mt,$25.500.000,2015,129.000,Rojo,Gasolina
Renault Logan Familier  1400cc Mt,$25.000.000,2012,134.000,Azul,Gasolina
Renault Logan Exclusive  1600cc At Aa,$45.000.000,2019,49.000,Gris,Gasolina
Renault Logan Exclusive 1.6 At Sedan Ejl868,$49.900.000,2019,50.137,Gris,Gasolina
Renault Logan 1.6 Authentique,$34.500.000,2017,80.000,Plateado,Gasolina
Renault Logan Life +,$64.490.000,2024,0,Plateado,Gasolina
Renault Logan Life 1.6 2023 Mq,$57.296.142,2023,0,Blanco,Gasolina
Renault Logan 1.6 Life,$39.990.000,2023,73.110,Gris,Gasolina
Renault Logan 1.6 Expression,$35.600.000,2018,47.000,Gris,Gasolina
Renault Logan 1.6 Authentique / Life,$49.990.000,2023,39.700,Gris,Gasolina
Renault Logan Life 1.6 Mecanico Sedan,$49.500.000,2023,18.000,Gris,Gasolina
Renault Logan 1.6 Expression Fii,$24.500.000,2013,135.000,Azul,Gasolina
Renault Logan Aut 16v Motor Intens 110hp Divino Financiamos,$51.900.000,2023,29.000,Plateado,Gasolina
Renault Logan Familier  1400cc Mt Aa,$21.500.000,2010,89.900,Gris,Gasolina
Logan Zen. Full Equipo 2023 Motor 1.6  4 Airbag  Rin De Lujo,$54.900.000,2023,7.000,Gris,Gasolina
Renault Logan Polar 1.6,$41.500.000,2020,64.000,Gris,Gasolina
Renault Logan 1.6 Privilege / Intens,$48.900.000,2020,41.000,Dorado,Gasolina
Renault Logan 1.6 Expression,$38.000.000,2018,93.300,Blanco,Gasolina
Taxi Intermunicipal Renault Logan Dynamique 2014,$40.000.000,2014,924.800,Blanco,Gasolina
Renault Logan 1.6 Dynamique Fii,$26.800.000,2012,80.748,Gris,Gasolina
Renault Logan 1.6 Authentique / Life,$46.000.000,2023,47.950,Gris,Gasolina
Renault Logan 1.6 Life,$50.000.000,2023,63.000,Rojo,Gasolina
Renault Logan Mt 2023,$44.900.000,2023,16.000,Plateado,Gasolina
Renault Logan 1.6 Dynamique Fii,$29.900.000,2015,110.000,Plateado,Gasolina
Renault Logan Mt 2023,$44.900.000,2023,15.000,Gris,Gasolina
Renault Logan Life 1.6 Mecanico Sedan,$49.500.000,2023,17.500,Gris,Gasolina
Renault Logan LIFE 1.6,$49.400.000,2023,25.916,Plateado,Gasolina
Renault Logan 1.4 Entry Familier Fii,$23.500.000,2013,207.000,Rojo,Gasolina
Renault Logan Intens CVT,$73.930.000,2024,0,Gris,Gasolina
Renault Logan 1.6 Intens,$52.000.000,2020,38.000,Gris,Gasolina
Renault Logan 1.6 PRIVILEGE/PRESTIGE AUTOMATICO,$39.000.000,2016,75.000,Gris,Gasolina
Renault Logan 1.4 FAMILIER,$22.990.000,2013,80.259,Gris,Gasolina
Renault Logan Mt 2023,$44.900.000,2023,15.000,Plateado,Gasolina
Renault Logan Mt 2022,$42.900.000,2022,25.000,Plateado,Gasolina
Renault Logan 1.6 Life,$57.700.000,2023,0,Gris,Gasolina
Renault Logan 1.4 Entry Familier Fii,$25.500.000,2013,99.400,Gris,Gasolina
Renault Logan At 2022,$46.900.000,2022,24.000,Gris,Gasolina
Renault Logan Mt 2023,$44.900.000,2023,20.000,Gris,Gasolina
Renault Logan 1.6 Expression,$26.000.000,2008,114.500,Gris,Gasolina
Renault Logan Life ,$49.990.000,2023,15.000,Plateado,Gasolina
Renault Logan 1.6 Authentique / Life,$52.000.000,2023,29.000,Plateado,Gasolina
Renault Logan 1.4 Entry Familier,$23.000.000,2009,182.000,Azul,Gasolina
Renault Logan Life Plus 2025 Ds,$64.990.000,2023,0,Gris,Gasolina
Renault Logan LIFE,$61.000.000,2023,0,Blanco,Gasolina
Renault Logan 1.6 Dynamique Fii,$26.600.000,2012,146.000,Gris,Gasolina
Renault Logan 1.6 Authentique,$35.000.000,2016,93.784,Gris,Gasolina
